outlet_pressure,time
78.68919074327127,0.0
78.66158132074558,0.40008333333345086
78.67985390357961,0.8001666666671037
78.68636452359512,1.2002500000007565
78.6886815916489,1.6003333333344094
78.68950585908995,2.000416666666898
78.68979903674933,2.4004999999976047
78.68990330927538,2.800583333328312
78.6899403944636,3.200666666659019
78.6899535834339,3.6007222222119486
78.68995827465253,4.000805555547313
78.68995994309817,4.400888888883912
78.68996053648456,4.80097222222051
78.68996074752262,5.20105555555711
78.68996082258128,5.601138888893708
78.6893521944379,6.001222222230307
77.58260425456336,6.401305555566905
75.57283153704707,6.801361111125726
73.49003831399328,7.201444444462325
72.5182650106496,7.601527777798924
72.0296738109738,8.001611111135523
71.77761876320415,8.401694444472122
71.64605909859847,8.80177777780872
71.57699001060605,9.20186111114532
71.54061987507755,9.601944444481918
71.52143931685639,10.002000000040738
71.51131432734147,10.402083333377337
71.50596777623045,10.802166666713937
71.50314386370657,11.202250000050535
71.50165216652482,11.602333333387133
71.50086414603972,12.002416666723732
71.50044784372837,12.402500000060332
71.50022791205197,12.80258333339693
71.50011172150786,13.202666666733528
71.50005034044999,13.60272222229235
71.50001790936896,14.002805555628948
71.50000077578373,14.402888888965547
71.49999172397243,14.802972222298322
71.99416674532962,15.203055555611353
73.92985155502588,15.603138888924386
76.38685761008524,16.003222222237415
77.79935025065058,16.40330555555045
78.36002503158188,16.803361111085707
78.57075955302788,17.203444444398734
78.64732127861568,17.60352777771177
78.67476446513345,18.0036111110248
78.68455221630273,18.403694444337834
78.68803675644332,18.80377777765086
78.68927648591058,19.203861110963896
78.68971745505199,19.603944444276927
78.68987429396256,20.00402777758996
78.68993007281186,20.404083333125214
78.68994991302442,20.804166666438245
78.68995696926176,21.204249999751276
78.68995947883171,21.60433333306431
78.68996037136637,22.00441666637734
78.68996068879981,22.404499999690376
78.68996080169516,22.804583333003404
78.68996084184627,23.204666666316438
78.68996085612628,23.604722221851695
78.68996086117019,23.999999999609415
